colour	x	y	group	showSelectedlegendcolour	PANEL
#7F7F7F	1	0	1	train	1
#7F7F7F	2	0.303951839902958	1	train	1
#7F7F7F	3	0.552641766876745	1	train	1
#7F7F7F	4	0.684512477124945	1	train	1
#7F7F7F	5	0.811461908145492	1	train	1
#7F7F7F	6	0.923404336745261	1	train	1
#7F7F7F	7	0.897081490444112	1	train	1
#7F7F7F	8	0.866570135959299	1	train	1
#7F7F7F	9	0.832551769880417	1	train	1
#7F7F7F	10	0.866636655244624	1	train	1
#7F7F7F	11	0.865094615362158	1	train	1
#7F7F7F	12	0.882427946133391	1	train	1
#7F7F7F	13	0.904352919640855	1	train	1
#7F7F7F	14	0.897038553326824	1	train	1
#7F7F7F	15	0.88851962111584	1	train	1
#7F7F7F	16	0.907032159411603	1	train	1
#7F7F7F	17	0.895387974177914	1	train	1
#7F7F7F	18	0.909180420248859	1	train	1
#7F7F7F	19	0.906808647594036	1	train	1
#7F7F7F	20	0.90541511816676	1	train	1
#7F7F7F	21	0.897844605964209	1	train	1
#7F7F7F	22	0.896391194069257	1	train	1
#7F7F7F	23	0.896153414687099	1	train	1
#7F7F7F	24	0.895097907042193	1	train	1
#7F7F7F	25	0.92103584739488	1	train	1
#7F7F7F	26	0.922038031703019	1	train	1
#7F7F7F	27	0.917486276416178	1	train	1
#7F7F7F	28	0.907059533771753	1	train	1
#7F7F7F	29	0.900569058826596	1	train	1
#7F7F7F	30	0.90614551511272	1	train	1
#7F7F7F	31	0.905106581874677	1	train	1
#7F7F7F	32	0.925438642058839	1	train	1
#7F7F7F	33	0.939070940899495	1	train	1
#7F7F7F	34	0.928967813465902	1	train	1
#7F7F7F	35	0.928139538535137	1	train	1
#7F7F7F	36	0.929954165044681	1	train	1
#7F7F7F	37	0.932538913221785	1	train	1
#7F7F7F	38	0.928657155921441	1	train	1
#7F7F7F	39	0.928846402186864	1	train	1
#7F7F7F	40	0.92809114014994	1	train	1
#7F7F7F	41	0.920077607667792	1	train	1
#7F7F7F	42	0.92069878636068	1	train	1
#7F7F7F	43	0.919839186373508	1	train	1
#7F7F7F	44	0.913568009097539	1	train	1
#7F7F7F	45	0.919418647784211	1	train	1
#7F7F7F	46	0.929242956892061	1	train	1
#7F7F7F	47	0.930551264078366	1	train	1
#7F7F7F	48	0.930137191397847	1	train	1
#7F7F7F	49	0.927324183919527	1	train	1
#7F7F7F	50	0.927181306808796	1	train	1
#000000	1	1.75993806138747	2	validation	1
#000000	2	1.59307895035487	2	validation	1
#000000	3	1.12345003182533	2	validation	1
#000000	4	1.08091038930915	2	validation	1
#000000	5	0.897086758348993	2	validation	1
#000000	6	0.785676550900434	2	validation	1
#000000	7	0.843808457605366	2	validation	1
#000000	8	0.886797131561058	2	validation	1
#000000	9	0.868471593159863	2	validation	1
#000000	10	0.862252937963491	2	validation	1
#000000	11	0.835998165862557	2	validation	1
#000000	12	0.86977323917373	2	validation	1
#000000	13	0.858884097227063	2	validation	1
#000000	14	0.869575884441232	2	validation	1
#000000	15	0.882457470888399	2	validation	1
#000000	16	0.878425119260377	2	validation	1
#000000	17	0.880910091111334	2	validation	1
#000000	18	0.88506736868103	2	validation	1
#000000	19	0.8819601147835	2	validation	1
#000000	20	0.908279550702574	2	validation	1
#000000	21	0.904071573735801	2	validation	1
#000000	22	0.89791491966172	2	validation	1
#000000	23	0.912034072204125	2	validation	1
#000000	24	0.900895827999844	2	validation	1
#000000	25	0.899513287003377	2	validation	1
#000000	26	0.881798846370067	2	validation	1
#000000	27	0.869205156465002	2	validation	1
#000000	28	0.853210426417198	2	validation	1
#000000	29	0.8543843408152	2	validation	1
#000000	30	0.864263518833895	2	validation	1
#000000	31	0.868904558164185	2	validation	1
#000000	32	0.863905280547186	2	validation	1
#000000	33	0.846823248970709	2	validation	1
#000000	34	0.837167659415929	2	validation	1
#000000	35	0.836582034567072	2	validation	1
#000000	36	0.824840659756821	2	validation	1
#000000	37	0.830994637055974	2	validation	1
#000000	38	0.828709770160696	2	validation	1
#000000	39	0.823354981884491	2	validation	1
#000000	40	0.811900584181384	2	validation	1
#000000	41	0.82312233452061	2	validation	1
#000000	42	0.826834058578494	2	validation	1
#000000	43	0.821813005513165	2	validation	1
#000000	44	0.827224723334718	2	validation	1
#000000	45	0.820832260171963	2	validation	1
#000000	46	0.817446931850689	2	validation	1
#000000	47	0.815517737290903	2	validation	1
#000000	48	0.815739595811301	2	validation	1
#000000	49	0.822115080523267	2	validation	1
#000000	50	0.822420233383844	2	validation	1
#7F7F7F	1	0	1	train	2
#7F7F7F	2	0.45451277230292	1	train	2
#7F7F7F	3	0.650731725684359	1	train	2
#7F7F7F	4	0.707307150133923	1	train	2
#7F7F7F	5	0.719696669935214	1	train	2
#7F7F7F	6	0.733664855445919	1	train	2
#7F7F7F	7	0.736820836285458	1	train	2
#7F7F7F	8	0.785410776660899	1	train	2
#7F7F7F	9	0.766035464087352	1	train	2
#7F7F7F	10	0.798297342413885	1	train	2
#7F7F7F	11	0.796261108880854	1	train	2
#7F7F7F	12	0.815878947164138	1	train	2
#7F7F7F	13	0.847191815978803	1	train	2
